,sentence,intent
329,서울 서대문구 흐릴까,weather
330,서울 구로구 우산 챙겨야 할까,weather
331,서울 구로구 날씨 어떠냐,weather
332,서울 금천구 비오냐,weather
333,서울 성북구 추울까,weather
334,서울 동작구 눈 올까,weather
335,서울 서대문구 우산 가져갈까,weather
336,서울 광진구 우산 필요할까,weather
337,서울 중랑구 덥냐,weather
338,서울 동대문구 흐리냐,weather
339,서울 도봉구 우산 가져가야하니,weather
340,서울 송파구 우산 써야하니,weather
341,서울 관악구 비오냐,weather
342,서울 관악구 우산 챙길까,weather
343,서울 은평구 흐릴까,weather
344,서울 강서구 우산 써야하니,weather
345,서울 광진구 추울까,weather
346,서울 노원구 날씨 좋니,weather
347,서울 구로구 맑을까,weather
348,서울 종로구 날씨 어떠냐,weather
349,서울 중구 눈 올까,weather
350,서울 강북구 우산 가져가야하니,weather
351,서울 강동구 눈 오냐,weather
352,서울 광진구 날씨 맑냐,weather
353,서울 구로구 춥니,weather
354,서울 영등포구 우산 써야 할까,weather
355,서울 중랑구 날씨 덥냐,weather
356,서울 서대문구 춥냐,weather
357,서울 동작구 날씨 덥냐,weather
358,서울 영등포구 우산 필요하냐,weather
359,서울 동대문구 눈 올까,weather
360,서울 영등포구 날씨 더울까,weather
361,서울 중구 날씨 맑니,weather
362,서울 구로구 날씨 어때,weather
363,서울 관악구 날씨 맑을까,weather
364,서울 동작구 덥냐,weather
365,서울 용산구 날씨 추울까,weather
366,서울 서대문구 우산 필요하냐,weather
367,서울 강동구 우산 써야 할까,weather
368,서울 송파구 덥니,weather
369,서울 마포구 날씨 춥냐,weather
370,서울 송파구 더울까,weather
371,서울 도봉구 날씨 더울까,weather
372,서울 송파구 춥니,weather
373,서울 양천구 우산 챙겨야 할까,weather
374,서울 성동구 흐리니,weather
375,서울 노원구 덥냐,weather
376,서울 서대문구 날씨 어떠냐,weather
377,서울 종로구 우산 챙겨야 할까,weather
378,서울 성북구 비오냐,weather
379,서울 도봉구 비 올까,weather
380,서울 금천구 날씨 흐리니,weather
381,서울 마포구 눈 오니,weather
382,서울 서대문구 날씨 더울까,weather
383,서울 서대문구 날씨 덥니,weather
384,서울 관악구 날씨 어떠니,weather
385,서울 마포구 맑을까,weather
386,서울 마포구 날씨 어때,weather
387,서울 강북구 우산 필요해,weather
388,서울 중구 덥니,weather
389,서울 도봉구 날씨 흐리니,weather
390,서울 양천구 날씨 더울까,weather
391,서울 강동구 우산 챙길까,weather
392,서울 강남구 날씨 더울까,weather
393,서울 성동구 우산 챙길까,weather
394,서울 강동구 흐리냐,weather
395,서울 강북구 날씨 춥냐,weather
396,서울 은평구 우산 가져갈까,weather
397,서울 종로구 맑을까,weather
398,서울 은평구 춥니,weather
399,서울 도봉구 우산 필요하냐,weather
400,서울 노원구 우산 필요해,weather
401,서울 중구 날씨 맑을까,weather
402,서울 중구 우산 필요할까,weather
403,서울 금천구 흐리니,weather
404,서울 노원구 눈 오냐,weather
405,서울 강북구 비 올까,weather
406,서울 관악구 우산 필요할까,weather
407,서울 성북구 우산 필요할까,weather
408,서울 구로구 눈 오냐,weather
409,서울 강남구 우산 챙길까,weather
410,서울 강서구 덥니,weather
411,서울 강서구 더울까,weather
412,서울 서초구 날씨 좋니,weather
413,서울 중구 우산 챙겨야 할까,weather
414,서울 강서구 날씨 더울까,weather
415,서울 마포구 우산 필요할까,weather
416,서울 중구 날씨 어떠니,weather
417,서울 영등포구 날씨 덥니,weather
418,서울 중랑구 흐리냐,weather
419,서울 강동구 덥냐,weather
420,서울 강남구 우산 쓸까,weather
421,서울 양천구 날씨 어떠냐,weather
422,서울 관악구 맑을까,weather
423,서울 강서구 우산 챙길까,weather
424,서울 성북구 우산 가져갈까,weather
425,서울 동대문구 우산 챙겨야해,weather
426,서울 중구 추울까,weather
427,서울 영등포구 날씨 맑을까,weather
428,서울 성북 흐릴까,weather
429,서울 중구 날씨 추울까,weather
430,서울 송파 우산 써야 할까,weather
431,서울 마포 흐리니,weather
432,서울 도봉 맑을까,weather
433,서울 도봉 날씨 흐릴까,weather
434,서울 강동 날씨 좋니,weather
435,서울 서대문 춥니,weather
436,서울 광진 덥냐,weather
437,서울 강서 비 올까,weather
438,서울 성동 우산 챙겨야해,weather
439,서울 동대문 날씨 좋니,weather
440,서울 은평 날씨 흐리냐,weather
441,서울 동작 눈 오냐,weather
442,서울 강남 날씨 어때,weather
443,서울 강남 눈 오냐,weather
444,서울 금천 흐리냐,weather
445,서울 중랑 눈 오니,weather
446,서울 영등포 날씨 맑니,weather
447,서울 성북 눈 올까,weather
448,서울 서초 비오냐,weather
449,서울 동대문 흐릴까,weather
450,서울 강동 춥니,weather
451,서울 강북 우산 써야하니,weather
452,서울 용산 우산 챙겨야 할까,weather
453,서울 송파 우산 필요해,weather
454,서울 서대문 덥니,weather
455,서울 영등포 흐릴까,weather
456,서울 서대문 비오니,weather
457,서울 성북 날씨 춥니,weather
458,서울 중랑 우산 필요하니,weather
459,서울 용산 춥냐,weather
460,서울 강동 우산 쓸까,weather
461,서울 도봉 우산 필요할까,weather
462,서울 용산 날씨 흐리냐,weather
463,서울 강남 비오니,weather
464,서울 마포 우산 쓸까,weather
465,서울 동대문 비오니,weather
466,서울 성북 우산 필요하냐,weather
467,서울 노원 덥니,weather
468,서울 양천 춥냐,weather
469,서울 송파 날씨 춥냐,weather
470,서울 중구 우산 필요하니,weather
471,서울 관악 날씨 맑니,weather
472,서울 마포 흐릴까,weather
473,서울 용산 날씨 춥냐,weather
474,서울 용산 맑을까,weather
475,서울 중구 날씨 더울까,weather
476,서울 중구 우산 필요해,weather
477,서울 동작 맑니,weather
478,서울 영등포 날씨 맑냐,weather
479,서울 서대문 맑을까,weather
480,서울 동대문 우산 필요할까,weather
481,서울 서대문 맑니,weather
482,서울 중랑 날씨 맑니,weather
483,서울 광진 날씨 춥냐,weather
484,서울 서대문 날씨 맑니,weather
485,서울 노원 날씨 춥니,weather
486,서울 성동 춥니,weather
487,서울 광진 우산 필요하냐,weather
488,서울 노원 우산 챙길까,weather
489,서울 영등포 우산 가져갈까,weather
490,서울 광진 날씨 추울까,weather
491,서울 영등포 더울까,weather
492,서울 용산 날씨 어때,weather
493,서울 송파 우산 챙겨야 할까,weather
494,서울 용산 흐리니,weather
495,서울 서대문 비 올까,weather
496,서울 은평 날씨 맑을까,weather
497,서울 중구 맑니,weather
498,서울 도봉 추울까,weather
499,서울 종로 날씨 덥냐,weather
500,서울 동대문 비 올까,weather
501,서울 중구 비 올까,weather
502,서울 중랑 흐리니,weather
503,서울 노원 날씨 맑을까,weather
504,서울 중랑 날씨 덥니,weather
505,서울 양천 날씨 흐릴까,weather
506,기온 시원하니,weather
507,따뜻하니 기온,weather
508,인천 기온 따뜻해,weather
509,부산 시원해,weather
510,부산 시원하니,weather
511,시원한 기온니,weather
512,밀양 지금 기온 시원해,weather
513,구름 껴서 기온 쌀쌀해,weather
514,모레 기온 알려줘,weather
515,기온 어떠려나,weather
516,전주 기온 어떤지 말해줘,weather
517,기온 궁금해서 물어봤어,weather
518,기온 알려주세요,weather
519,기온 어떠려나,weather
520,체감 기온 어떠려나,weather
521,모레 날씨 알려주겠니,weather
522,고성 우산 필요해,weather
523,수원 날씨 맑을까,weather
524,동두천 우산 써야하니,weather
525,홍성 우산 필요할까,weather
526,영양 날씨 춥니,weather
527,안산 우산 챙겨야해,weather
528,여수 우산 써야 할까,weather
529,의성 흐릴까,weather
530,진주 날씨 흐리냐,weather
531,수원 날씨 흐리냐,weather
532,무안 비 올까,weather
533,군산 더울까,weather
534,홍성 눈 오니,weather
535,태백 날씨 맑냐,weather
536,영동 우산 챙겨야 할까,weather
537,거제 날씨 맑을까,weather
538,청도 날씨 추울까,weather
539,함양 덥니,weather
540,부천 날씨 어떠니,weather
541,포천 눈 오냐,weather
542,대구 날씨 춥니,weather
543,제천 날씨 맑을까,weather
544,통영 우산 쓸까,weather
545,정선 우산 필요하니,weather
546,고흥 날씨 더울까,weather
547,고성 우산 챙길까,weather
548,강릉 날씨 좋니,weather
549,서산 날씨 덥니,weather
550,완주 우산 필요하니,weather
551,완주 비오냐,weather
552,가평 날씨 흐리냐,weather
553,함평 우산 필요하냐,weather
554,공주 날씨 추울까,weather
555,강진 춥니,weather
556,영암 날씨 맑을까,weather
557,양양 날씨 흐릴까,weather
558,고양 날씨 흐리니,weather
559,평택 맑을까,weather
560,영동 비 올까,weather
561,통영 날씨 흐리니,weather
562,의정부 날씨 맑을까,weather
563,화순 우산 필요하니,weather
564,아산 우산 필요할까,weather
565,가평 날씨 맑냐,weather
566,대구 흐리냐,weather
567,문경 우산 가져갈까,weather
568,논산 우산 필요할까,weather
569,의성 우산 써야하니,weather
570,동두천 추울까,weather
571,거제 맑니,weather
572,미추홀 맑을까,weather
573,대구 춥니,weather
574,의왕 날씨 맑냐,weather
575,울진 날씨 추울까,weather
576,태백 날씨 좋니,weather
577,수원 비오냐,weather
578,춘천 맑니,weather
579,신안 날씨 추울까,weather
580,미추홀 날씨 추울까,weather
581,용산 우산 챙길까,weather
582,광양 우산 챙길까,weather
583,창녕 날씨 어떠냐,weather
584,춘천 더울까,weather
585,의령 날씨 추울까,weather
586,거제 우산 필요할까,weather
587,과천 눈 올까,weather
588,아산 우산 필요하니,weather
589,시흥 눈 오냐,weather
590,청양 눈 오냐,weather
591,곡성 춥니,weather
592,계룡 날씨 어떠냐,weather
593,증평 우산 필요할까,weather
594,밀양 눈 올까,weather
595,서산 우산 필요해,weather
596,장성 덥니,weather
597,예천 더울까,weather
598,일산 날씨 어떠냐,weather
599,군위 날씨 흐리냐,weather
600,보성 비오니,weather
601,당진 날씨 어떠니,weather
602,서천 날씨 맑냐,weather
603,동해 덥냐,weather
604,충주 날씨 덥냐,weather
605,포천 날씨 흐리니,weather
606,고창 날씨 흐리니,weather
607,남원 날씨 추울까,weather
608,진주 흐릴까,weather
609,의정부 맑을까,weather
610,천안 맑니,weather
611,예산 맑니,weather
612,무안 날씨 맑니,weather
613,김포 우산 가져가야하니,weather
614,홍성 춥니,weather
615,밀양 날씨 어떠니,weather
616,영주 우산 챙길까,weather
617,정읍 춥니,weather
618,영동 날씨 맑을까,weather
619,장수 우산 가져가야하니,weather
620,의성 눈 오니,weather
621,청주 더울까,weather
622,미추홀 우산 필요하니,weather
623,영주 흐릴까,weather
624,정선 우산 쓸까,weather
625,단양 우산 필요하니,weather
626,문경 날씨 맑냐,weather
627,태안 춥냐,weather
628,충주 우산 챙길까,weather
629,함안 날씨 춥니,weather
630,칠곡 날씨 덥냐,weather
631,고성 날씨 맑냐,weather
632,하남 날씨 맑냐,weather
633,하남 날씨 맑니,weather
634,청송 우산 필요해,weather
635,제주 우산 써야 할까,weather
636,의왕 추울까,weather
637,통영 우산 챙길까,weather
638,괴산 우산 써야 할까,weather
639,나주 우산 챙겨야 할까,weather
640,인제 눈 오냐,weather
641,대구 우산 써야하니,weather
642,단양 춥냐,weather
643,춘천 날씨 어떠니,weather
644,영양 우산 필요해,weather
645,태백 맑을까,weather
646,익산 눈 오니,weather
647,용인 날씨 추울까,weather
648,원주 흐릴까,weather
649,담양 춥니,weather
650,포천 추울까,weather
651,광명 우산 필요할까,weather
652,일산 날씨 흐리냐,weather
653,영덕 날씨 춥니,weather
654,무안 우산 필요할까,weather
655,과천 날씨 덥니,weather
656,제주 눈 오니,weather
657,가평 우산 써야하니,weather
658,미추홀 추울까,weather
659,제천 맑냐,weather
660,김포 더울까,weather
661,통영 날씨 맑냐,weather
662,거창 우산 써야 할까,weather
663,해남 비오냐,weather
664,보성 우산 쓸까,weather
665,괴산 날씨 맑을까,weather
666,청도 눈 올까,weather
667,정선 날씨 덥니,weather
668,여주 날씨 춥니,weather
669,포천 날씨 좋니,weather
670,청주 날씨 맑을까,weather
671,안동 날씨 추울까,weather
672,정읍 날씨 흐리냐,weather
673,당진 맑을까,weather
674,전주 날씨 춥니,weather
675,울릉 우산 필요해,weather
676,산청 날씨 흐리냐,weather
677,내일 부산 우산 써야해,weather
678,오늘 우산 써야 하니,weather
679,울산 내일 우산 써야 하니,weather
680,오늘 우산 써야 하니,weather
681,군산 내일 우산 써야 하니,weather
682,우산 써야 하니,weather
683,내일 부산 우산 써야해,weather
684,오늘 우산 써야 하니,weather
685,울산 내일 우산 써야 하니,weather
686,오늘 우산 써야 하니,weather
687,군산 내일 우산 써야 하니,weather
688,우산 써야 하니,weather
689,내일 부산 우산 써야해,weather
690,오늘 우산 써야 하니,weather
691,울산 내일 우산 써야 하니,weather
692,우산 쓰기 싫은데,weather
693,전주 우산 쓸까,weather
694,우산 써야 하니,weather
695,다음 주 우산 쓰기 싫어,weather
696,다음 주 우산 쓰기 싫어,weather
697,광주 비 옷 입을까,weather
698,모레 전북 우비 입어야 하니,weather
699,우비 입을까,weather
700,모레 비 옷 입어야 하니,weather
701,우산 챙길까 말까,weather
702,양주 우산 챙길까,weather
703,울산 우산 챙길까 고민 돼,weather
704,이천 우산 챙겨야 하니,weather
705,날씨 어떠니 좋니,weather
706,광주 비 옷 입을까,weather
707,모레 전북 우비 입어야 하니,weather
708,우비 입을까,weather
709,광주 비 옷 입을까,weather
710,모레 전북 우비 입어야 하니,weather
711,우비 입을까,weather
712,모레 비 옷 입어야 하니,weather
713,우산 챙길까 말까,weather
714,양주 우산 챙길까,weather
715,울산 우산 챙길까 고민 돼,weather
716,이천 우산 챙겨야 하니,weather
717,날씨 어떠니 좋니,weather
718,광주 비 옷 입을까,weather
719,모레 전북 우비 입어야 하니,weather
720,우비 입을까,weather
721,모레 비 옷 입어야 하니,weather
722,우산 챙길까 말까,weather
723,양주 우산 챙길까,weather
724,울산 우산 챙길까 고민 돼,weather
725,이천 우산 챙겨야 하니,weather
726,날씨 어떠니 좋니,weather
727,모레 비 옷 입어야 하니,weather
728,고창 우산 챙길까 말까,weather
729,남원 우산 챙길까,weather
730,완주 우산 챙길까 고민 돼,weather
731,오산 우산 챙겨야 하니,weather
732,날씨 어떠니 좋니,weather
733,우산 써야 하니,weather
734,내일 부산 우산 써야해,weather
735,오늘 우산 써야 하니,weather
736,울산 내일 우산 써야 하니,weather
737,오늘 우산 써야 하니,weather
738,군산 내일 우산 써야 하니,weather
739,우산 써야 하니,weather
740,내일 부산 우산 써야해,weather
741,오늘 우산 써야 하니,weather
742,울산 내일 우산 써야 하니,weather
743,오늘 우산 써야 하니,weather
744,군산 내일 우산 써야 하니,weather
745,우산 써야 하니,weather
746,내일 부산 우산 써야해,weather
747,오늘 우산 써야 하니,weather
748,울산 내일 우산 써야 하니,weather
749,우산 쓰기 싫은데,weather
750,전주 우산 쓸까,weather
751,우산 써야 하니,weather
752,다음 주 우산 쓰기 싫어,weather
753,다음 주 우산 쓰기 싫어,weather
754,광주 비 옷 입을까,weather
